"STATION","NAME","DATE","AWND","DAPR","MDPR","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TOBS","TSUN","WDF2","WDF5","WESD","WESF","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT08","WT09","WT11"
"USC00280907","BOONTON 1 SE, NJ US","2017-06-17",,,,,"0.23","0.0","0.0",,"66","59","64",,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2017-06-18",,,,,"0.50","0.0","0.0",,"73","64","70",,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2017-06-19",,,,,"0.00","0.0","0.0",,"87","70","76",,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2017-06-20",,,,,"0.23","0.0","0.0",,"88","69","70",,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2017-06-21",,,,,"0.00","0.0","0.0",,"83","60","60",,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2017-06-22",,,,,"0.00","0.0","0.0",,"83","59","60",,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2017-06-23",,,,,"0.00","0.0","0.0",,"85","60","74",,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2017-06-24",,,,,"0.90","0.0","0.0",,"81","71","71",,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2017-06-25",,,,,"0.13","0.0","0.0",,"84","61","62",,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2017-06-26",,,,,"0.06","0.0","0.0",,"81","55","60",,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2017-06-27",,,,,"0.06","0.0","0.0",,"79","58","59",,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2017-06-28",,,,,"0.00","0.0","0.0",,"77","52","56",,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2017-06-29",,,,,"0.00","0.0","0.0",,"79","56","59",,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2017-06-30",,,,,"0.00","0.0","0.0",,"83","59","71",,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2017-07-01",,,,,"0.01","0.0","0.0",,"90","68","70",,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2017-07-02",,,,,"0.70","0.0","0.0",,"86","69","70",,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2017-07-03",,,,,"0.00","0.0","0.0",,"88","65","67",,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2017-07-04",,,,,"0.44","0.0","0.0",,"87","63","64",,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2017-07-05",,,,,"0.00","0.0","0.0",,"85","61","62",,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2017-07-06",,,,,"0.00","0.0","0.0",,"86","62","65",,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2017-07-07",,,,,"0.21","0.0","0.0",,"79","65","65",,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2017-07-08",,,,,"2.02","0.0","0.0",,"83","65","71",,,,,,,,,,,,,,,,
